ITEM_NO,PROF_ALPHA_2,DESCR,LST_COST,PRC_1,TAX_CATEG_COD,CATEG_COD,ACCT_COD,ITEM_VEND_NO,PROF_COD_4,PROF_ALPHA_3,PROF_DAT_1,QTY
637666049618,TH02710190100,Travel Set w/Beauty Bag: Eucalyptus,16,43.99,TX,037,037,Thymes Seasonal Gift,A,TH02710190100,09/19/24,6
637666049632,TH05010190100,Travel Set with Beauty Bag: Lavender,16,43.99,TX,037,037,Thymes Seasonal Gift,A,TH05010190100,09/19/24,6
637666038162,TH03515200500,Frasier Fir Bar Soap,6,16.99,TX,037,037,Thymes Seasonal Gift,A,TH03515200500,09/19/24,12
637666049472,TH03505206510,Frasier Fir Decorative Sachet,3,8.99,TX,037,037,Thymes Seasonal Gift,A,TH03505206510,09/19/24,32
637666051161,TH03515289400,Frasier Fir Holiday Gift Set,18,48.99,TX,037,037,Thymes Seasonal Gift,A,TH03515289400,09/19/24,12
637666049977,TH03505279320,Frasier Fir Reed Diffuser Petite Pine Needle Design,23,62.99,TX,037,037,Thymes Seasonal Gift,A,TH03505279320,09/19/24,12
637666038124,TH03505205600,Frasier Fir Home Fragrance Mist,11,29.99,TX,037,037,Thymes Seasonal Gift,A,TH03505205600,09/19/24,12
637666049687,TH04010190200,Goldleaf Fragrance Duo,18,48.99,TX,037,037,Thymes Seasonal Gift,A,TH04010190200,09/19/24,6
637666043401,TH03515289200,Frasier Fir Bar Soap & Dish Set,11,29.99,TX,037,037,Thymes Seasonal Gift,A,TH03515289200,09/19/24,12
